talker,vowel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15
PL2,iy,-8.9279915,-13.09989,-16.939155,-22.07954,-27.520218,-33.278456,-39.318255,-42.902008,-45.057908,-44.991762,-44.832689,-43.60869,,,,-7.0959444,-2.8979972,-0.5894629,2.19936376,2.87341189,2.28233929,0.26341438,-4.3700446,-9.2850643,-15.756863,-19.562323,-25.095196,,,
PL2,ih,-10.142634,-16.026781,-20.035346,-25.22825,-30.975117,-35.515938,-41.713514,-45.997227,-48.18653,-50.508861,-50.303233,-51.269331,,,,-10.479822,-10.440662,-10.00682,-7.1823,-7.7955162,-8.0697841,-9.3739502,-14.107492,-19.081569,-23.828164,-28.042797,-32.759472,,,
PL2,ey,-5.5862712,-10.813821,-14.152659,-17.764055,-22.84624,-27.847097,-34.109342,-40.250401,-41.826696,-43.239456,-44.001594,-41.854978,,,,-15.50783,-12.747958,-9.6514917,-5.3351073,-3.2258584,-1.0984389,-2.4975711,-7.1143556,-11.906691,-17.430977,-22.809899,-26.685061,,,
PL2,eh,-8.2392812,-13.756756,-17.185422,-22.779142,-27.978134,-33.079435,-38.247452,-43.370197,-46.002256,-49.704929,-52.848468,-52.361609,,,,-14.40119,-16.15166,-15.544078,-13.404438,-13.734836,-14.131154,-17.681335,-21.901842,-24.959605,-29.498596,-33.419681,-39.861633,,,
PL2,ae,-5.1274001,-12.371114,-17.122971,-21.5214,-26.038762,-31.922815,-36.899353,-41.447766,-44.871159,-46.635657,-49.569555,-50.137703,,,,-19.113469,-18.664252,-15.057335,-12.738749,-9.8490842,-9.797674,-10.834081,-14.334955,-19.559317,-23.757232,-28.879652,-35.552288,,,
PL2,aa,-10.214033,-17.194962,-22.004806,-26.332232,-30.355247,-35.397923,-40.739513,-45.680317,-50.952206,-55.126287,-58.817815,-61.597855,,,,-20.609022,-21.387809,-20.380614,-19.278517,-17.522025,-15.201751,-14.384092,-16.035495,-19.025981,-21.121064,-25.669124,-31.396757,,,
PL2,ao,-10.716675,-16.824163,-21.240087,-26.169025,-29.773509,-35.039113,-39.41003,-45.405296,-50.603684,-54.982838,-60.016202,-61.589368,,,,-24.604537,-23.339209,-24.204921,-22.453789,-20.527926,-17.059491,-14.689447,-13.996554,-14.336308,-18.421744,-22.635433,-28.038997,,,
PL2,ow,-14.083837,-20.765852,-25.324635,-29.95446,-33.213031,-38.480899,-42.853362,-49.020654,-53.24165,-57.941177,-61.504025,-62.53213,,,,-24.682572,-23.958743,-23.66653,-19.991087,-16.81026,-13.345264,-10.978074,-12.870753,-14.295624,-17.173515,-22.375702,-27.07925,,,
PL2,uw,-13.765194,-19.472067,-22.650688,-27.309381,-32.265131,-37.972004,-43.34268,-49.284251,-52.210315,-53.749918,-53.891004,-53.895172,,,,-15.150018,-13.111997,-10.543413,-7.0082058,-4.8977075,-2.8596873,-5.2639677,-7.7880529,-12.914952,-17.750897,-23.57058,-30.042715,,,
PL2,ah,-13.824161,-19.589803,-23.996186,-29.028166,-33.441164,-37.701991,-43.839609,-50.693982,-54.728388,-59.145062,-61.414415,-61.570263,,,,-21.587157,-22.101015,-23.014049,-20.907895,-18.503278,-16.833057,-15.551722,-16.971997,-19.680224,-23.829311,-28.895107,-34.714413,,,
PL2,er,-12.808683,-18.252006,-24.211785,-28.909769,-36.099064,-40.167324,-43.235539,-46.657057,-51.525823,-57.546638,-59.826085,-61.653633,,,,-10.418902,-6.3617924,-3.0934509,-2.2008046,-2.4238194,-4.5495032,-9.0203643,-14.245955,-22.327309,-31.415165,-36.402481,-40.699626,,,
PL4,iy,-5.2943377,-10.047862,-14.889645,-19.607114,-24.319452,-28.890577,-34.008274,-38.990642,-44.461495,-47.391528,-47.085567,-48.509083,,,,-6.6403622,-3.2174641,1.4523093,5.54609142,8.38711437,9.23313682,9.53922218,7.93343202,3.78682044,-0.8482759,-5.170777,-12.205482,,,
PL4,ih,-8.9558867,-14.905937,-20.367555,-25.646255,-30.825063,-36.553924,-41.644515,-45.192621,-49.354997,-52.024833,-53.753481,-56.409047,,,,-7.7117791,-5.6302668,-2.419458,-0.3638917,0.52929697,0.03697295,-1.069621,-4.5528621,-8.6743728,-14.591342,-17.834584,-23.917607,,,
PL4,ey,-8.8121214,-11.849202,-16.344177,-19.917694,-24.699224,-29.270614,-35.232844,-39.656662,-45.686333,-48.417243,-49.967451,-50.090535,,,,-15.494518,-10.009235,-4.1613687,-0.0669266,2.65603455,4.05969675,5.99979691,4.98987297,0.64490509,-4.0536708,-7.9693858,-13.673783,,,
PL4,eh,-6.3161357,-12.889482,-18.218826,-23.579352,-28.245229,-34.146957,-38.542427,-42.906717,-48.197117,-51.662983,-54.504714,-56.586588,,,,-13.264687,-11.984847,-10.582743,-8.0114187,-6.5441056,-5.281991,-5.7139952,-7.315218,-12.273109,-17.051678,-20.512885,-25.741572,,,
PL4,ae,-7.7895686,-13.739513,-17.500704,-21.760151,-26.019598,-30.950895,-36.218892,-40.094647,-46.090416,-50.752585,-53.025999,-56.215147,,,,-20.09179,-18.803237,-14.812918,-11.555031,-8.2971449,-5.0373165,-3.8334247,-3.7188607,-7.5569456,-11.316195,-14.699908,-20.210237,,,
PL4,aa,-12.537808,-18.606183,-23.275079,-28.752367,-34.08406,-37.521355,-42.906829,-47.443449,-53.542812,-59.07337,-61.363832,-64.628129,,,,-20.467288,-18.609256,-16.515993,-13.923457,-11.901902,-10.345945,-7.8272944,-7.7313837,-10.235308,-13.348248,-16.194455,-21.660603,,,
PL4,ao,-20.115231,-25.148093,-29.926684,-34.731222,-38.764517,-43.519108,-48.797808,-52.617049,-59.484288,-64.367961,-67.277797,-70.111741,,,,-27.74074,-21.73296,-17.710692,-14.359775,-12.197182,-9.427454,-7.3718874,-7.7001034,-9.5448593,-13.059235,-17.156746,-21.164095,,,
PL4,ow,-20.591313,-25.089865,-30.09695,-35.09278,-39.793646,-44.564915,-49.917218,-53.803329,-60.444371,-64.522589,-66.545472,-68.415245,,,,-20.929725,-15.775289,-11.943093,-7.521751,-6.1707201,-3.5688993,-2.3822324,-2.1901253,-5.5287056,-9.2227098,-13.922528,-19.86293,,,
PL4,uw,-13.873654,-18.823899,-24.497729,-29.417014,-35.597578,-39.473495,-45.406248,-50.460883,-55.267708,-59.775389,-62.381032,-61.751518,,,,-12.64876,-8.6476812,-4.9048644,-1.1518599,1.26802494,2.04400222,3.15114253,1.93246789,-0.5989513,-6.2002768,-10.892392,-15.936575,,,
PL4,ah,-13.341453,-18.234482,-25.093714,-31.125614,-36.419044,-41.045487,-46.833018,-51.203982,-56.075318,-59.946434,-62.500956,-63.144813,,,,-15.836253,-13.215086,-10.35386,-8.6426138,-7.4206302,-6.781608,-6.8873276,-8.1478612,-10.064275,-15.041331,-20.429896,-25.645572,,,
