"","X","Verb","WrittenFrequency","FamilySize","LengthInLetters","VerbalSynsets","MeanBigramFrequency","NcountStem","Regularity","InflectionalEntropy","Auxiliary","Valency","NVratio","WrittenSpokenRatio"
"1",370,"glippen",6.03068526026126,1.79175946922805,4,2,12.71,8,"regular",1.93047,"zijn",3,-4.42124734782716,1.09861228866811
"2",472,"monsteren",4.93447393313069,3.13549421592915,7,2,14.33,1,"regular",2.22374,"hebben",2,1.91034154607757,-2.11021320034659
"3",157,"waaien",6.85329909318608,2.63905732961526,4,3,13.29,17,"irregular",2.6831,"hebben",4,-6.85329909318608,0.916290731874155
"4",425,"stompen",5.09375020080676,2.39789527279837,5,1,13.32,6,"regular",2.43111,"hebben",1,0.0823995317670665,-1.20397280432594
"5",50,"smijten",6.85435450225502,2.39789527279837,5,1,13.03,2,"irregular",2.05856,"hebben",3,-6.85435450225502,0.802346472524937
"6",521,"smeden",5.69035945432406,2.30258509299405,5,3,13.7,6,"regular",2.16686,"hebben",4,-5.69035945432406,1.38629436111989
"7",92,"neigen",6.84481547920826,1.09861228866811,4,3,13.78,1,"regular",1.82585,"hebben",2,-6.84481547920826,-0.405465108108165
"8",8,"rijzen",7.37337430991005,2.19722457733622,4,4,13.43,15,"irregular",2.22852,"zijn",2,-6.27476202124194,1.09861228866811
"9",308,"juichen",6.41345895716736,1.79175946922805,5,1,12.86,0,"regular",2.67985,"hebben",2,-6.41345895716736,1.70474809223843
"10",407,"treuren",5.61677109766657,2.07944154167984,5,2,13.63,0,"regular",2.6078,"hebben",2,-5.61677109766657,1.94591014905531
"11",315,"schoppen",6.89162589705225,3.13549421592915,5,2,13.67,8,"regular",2.45375,"hebben",4,-0.910211685797773,-0.931558204004943
"12",522,"pogen",6.75925527066369,2.30258509299405,4,1,13.33,12,"regular",2.36412,"hebben",1,-6.75925527066369,2.484906649788
"13",397,"spitten",4.58496747867057,2.30258509299405,4,1,13.44,8,"regular",1.49917,"hebben",2,0.0689928714869508,-0.693147180559945
"14",335,"waken",6.57228254269401,3.3322045101752,4,4,14.11,16,"regular",2.44183,"hebben",2,-6.57228254269401,2.484906649788
