"","X","Word","Length","SUBTLWF","POS","Mean_RT"
"1",115,"reopening",9,0.67,"VB",716.11
"2",630,"detonating",10,0.41,"VB",1022.92
"3",638,"readings",8,2.76,"NN",648.74
"4",153,"coerced",7,0.84,"VB",940.64
"5",148,"tons",4,9.41,"NN",645.06
"6",430,"amenable",8,0.18,"JJ",994.22
"7",591,"arose",5,0.82,"VB",635.91
"8",79,"greenish",8,0.16,"JJ",701.84
"9",216,"raindrops",9,0.75,"NN",705.56
"10",348,"proclivity",10,0.24,"NN",1015.68
"11",684,"inductions",10,0.02,"NN",897.97
"12",298,"dagger",6,4.92,"NN",651.67
"13",60,"administers",11,0.12,"VB",852.55
"14",237,"embedded",8,1.73,"VB",801.55
"15",37,"jackpot",7,3.71,"NN",598.18
"16",40,"quintet",7,0.51,"NN",881.25
"17",852,"messenger",9,8.06,"NN",596.76
"18",238,"barrette",8,0.16,"NN",705.65
"19",170,"freights",8,0.06,"NN",882.67
"20",54,"punctuality",11,0.65,"NN",854.97
"21",828,"underbid",8,0.02,"VB",869.93
"22",310,"scrutinizing",12,0.1,"VB",841.13
"23",770,"tentative",9,0.49,"JJ",738.68
"24",185,"sighted",7,2.12,"VB",758.33
"25",358,"tacky",5,2.63,"JJ",674.09
"26",230,"teller",6,2.57,"NN",617.79
"27",404,"taunted",7,0.24,"VB",650.37
"28",750,"Reuben",6,1.18,"NN",798.04
"29",763,"suffragette",11,0.16,"NN",1048.14
"30",527,"escapee",7,0.22,"NN",862.48
"31",491,"swirled",7,0.1,"VB",702.16
"32",805,"paradigmatic",12,0.02,"JJ",1098.56
"33",27,"gracious",8,7.16,"JJ",721.09
"34",367,"procurement",11,0.25,"NN",1034.38
"35",827,"fours",5,2.06,"NN",666.81
"36",285,"sneezing",8,1.1,"VB",703.97
"37",357,"prognostic",10,0.02,"JJ",846.64
"38",236,"teletype",8,0.65,"NN",1013.69
"39",823,"spirituals",10,0.08,"NN",750.21
"40",500,"amaze",5,1.61,"VB",596.32
"41",729,"nameless",8,1.41,"JJ",682.32
"42",440,"taught",6,43.84,"VB",627.81
"43",354,"brasserie",9,0.1,"NN",991.76
"44",872,"sentimentality",14,0.47,"NN",910.87
"45",409,"hunted",6,3.88,"VB",696.53
"46",593,"bulldozer",9,1.29,"NN",672.94
"47",342,"grandfather",11,24.33,"NN",710.97
"48",465,"malady",6,0.43,"NN",771.4
"49",873,"borrows",7,0.49,"VB",688.16
"50",364,"differentiating",15,0.1,"VB",1074.9
"51",618,"declined",8,1.57,"VB",666.06
"52",131,"disk",4,6.63,"NN",577.24
"53",479,"remembrance",11,0.73,"NN",822.32
"54",420,"boardinghouse",13,0.12,"NN",1070.1
"55",12,"cheerleaders",12,2.86,"NN",627.06
"56",555,"fanatical",9,0.53,"JJ",859.33
"57",648,"magnet",6,2.75,"NN",638.82
"58",387,"lotion",6,3.25,"NN",633.34
"59",781,"synchronize",11,0.67,"VB",772.12
"60",752,"defence",7,8.02,"NN",832.78
"61",385,"compiler",8,0.14,"NN",893.12
"62",573,"moralize",8,0.02,"VB",736.45
"63",871,"computations",12,0.2,"NN",897.93
"64",529,"recessive",9,0.08,"JJ",661.29
"65",255,"doctorate",9,0.9,"NN",876.07
"66",759,"taxation",8,0.29,"NN",761.66
"67",696,"discretion",10,3.67,"NN",842.06
"68",8,"colonist",8,0.06,"NN",682.26
"69",243,"cholera",7,1.1,"NN",792.42
"70",710,"frustration",11,2.98,"NN",720.9
"71",681,"stronghold",10,1.18,"NN",760.57
"72",520,"Manitoba",8,0.06,"NN",758.59
"73",518,"criminology",11,0.29,"NN",979.48
"74",487,"sardines",8,3.18,"NN",878.05
"75",301,"astral",6,0.96,"JJ",738.73
"76",575,"remorseless",11,0.1,"JJ",941.26
"77",278,"Mongolia",8,0.55,"NN",700.68
"78",195,"waned",5,0.12,"VB",793.96
"79",784,"brittle",7,1.39,"JJ",691.1
"80",484,"copier",6,0.63,"NN",638.03
"81",480,"finder",6,1.67,"NN",652.19
"82",394,"begonia",7,0.08,"NN",844.11
"83",175,"felicity",8,16.8,"NN",758.94
"84",279,"Argonauts",9,0.18,"NN",1069
"85",614,"sociological",12,0.27,"JJ",1065.68
"86",646,"pillows",7,3.16,"NN",656.58
"87",851,"ascending",9,0.69,"VB",786.49
"88",256,"erudition",9,0.06,"NN",1156.25
"89",363,"subtraction",11,0.2,"NN",807.33
"90",253,"yachtsmen",9,0.04,"NN",1002.11
"91",645,"abrupt",6,1.14,"JJ",690.97
"92",210,"prepares",8,0.88,"VB",705.32
"93",124,"yesteryear",10,0.18,"NN",859.35
"94",18,"inducement",10,0.25,"NN",870.16
"95",758,"tarragon",8,0.27,"NN",949
"96",162,"vigil",5,0.86,"NN",723.04
"97",860,"dozed",5,0.8,"VB",711.44
"98",817,"myths",5,1.24,"NN",614.91
"99",400,"obstetrician",12,0.25,"NN",928.04
"100",426,"semiprecious",12,0.06,"JJ",1093.23
