"","Word","Length","SUBTLWF","POS","Mean_RT"
"1","rackets",7,0.96,"NN",790.87
"2","stepmother",10,4.24,"NN",692.55
"3","delineated",10,0.04,"VB",960.45
"4","swimmers",8,1.49,"NN",771.13
"5","umpire",6,1.06,"NN",882.5
"6","cobra",5,3.33,"NN",645.85
"7","vexes",5,0.1,"VB",760.29
"8","colonist",8,0.06,"NN",682.26
"9","bursitis",8,0.43,"NN",921.25
"10","hatred",6,5.41,"NN",695.53
"11","commends",8,0.1,"VB",631.2
"12","cheerleaders",12,2.86,"NN",627.06
"13","decrepit",8,0.49,"JJ",801.39
"14","tenets",6,0.24,"NN",929.37
"15","Niagara",7,3.08,"NN",763.32
"16","see",3,2556.73,"VB",517.52
"17","err",3,1.51,"VB",672.74
"18","inducement",10,0.25,"NN",870.16
"19","vicarious",9,0.25,"JJ",824.55
"20","balk",4,0.06,"VB",667.38
"21","recognizes",10,2,"VB",714.76
"22","jowls",5,0.31,"NN",752.95
"23","evasions",8,0.14,"NN",780.32
"24","culminates",10,0.14,"VB",799.6
"25","Bermuda",7,3.47,"NN",739.15
"26","Audubon",7,0.24,"NN",932.24
"27","gracious",8,7.16,"JJ",721.09
"28","radioactivity",13,0.8,"NN",786.68
"29","gown",4,6.55,"NN",750.79
"30","particles",9,3.02,"NN",754.91
"31","ordinances",10,0.16,"NN",796.59
"32","ovary",5,0.51,"NN",694.13
"33","reared",6,0.41,"VB",736.19
"34","nudist",6,0.65,"NN",752.58
"35","exportation",11,0.02,"NN",1121
"36","unhurt",6,0.1,"JJ",759
"37","jackpot",7,3.71,"NN",598.18
"38","medieval",8,2.96,"JJ",752.97
"39","hangover",8,3.9,"NN",616.55
"40","quintet",7,0.51,"NN",881.25
"41","guesswork",9,0.43,"NN",764.9
"42","vocalists",9,0.04,"NN",712.38
"43","coincident",10,0.2,"JJ",804.3
"44","harassing",9,2.67,"VB",759.78
"45","burners",7,0.55,"NN",671.06
"46","discard",7,1.08,"VB",647.24
"47","sliver",6,0.45,"NN",747.71
"48","contradict",10,1.35,"VB",817.53
"49","seedy",5,0.73,"JJ",707.62
"50","statewide",9,0.29,"JJ",695.09
"51","leisurely",9,0.57,"JJ",776.75
"52","shoestring",10,0.25,"NN",874.79
"53","quilted",7,0.08,"JJ",662.67
"54","punctuality",11,0.65,"NN",854.97
"55","ketchup",7,6.08,"NN",796.15
"56","anomaly",7,1.24,"NN",863.67
"57","outnumbered",11,2.12,"VB",711.1
"58","elude",5,0.41,"VB",805
"59","revelry",7,0.18,"NN",871.45
"60","administers",11,0.12,"VB",852.55
"61","onion",5,4.24,"NN",676.33
"62","weariness",9,0.1,"NN",762.16
"63","riser",5,0.35,"NN",756.28
"64","acquire",7,2.65,"VB",673.94
"65","repairing",9,0.82,"VB",730.28
"66","discovering",11,2.1,"VB",705.94
"67","notorious",9,3.71,"JJ",721.29
"68","suborbital",10,0.02,"JJ",1001.92
"69","assisted",8,1.71,"VB",803.43
"70","pistols",7,1.88,"NN",669.06
