"","X","Word","Length","Log_Freq_HAL","I_Mean_RT"
"1",28207,"purporting",10,5.606,749.111
"2",21613,"marionette",10,4.595,804.818
"3",25649,"pawnshop",8,4.248,785.094
"4",6570,"cohere",6,3.526,778.25
"5",22580,"Missouri's",10,3.738,805.75
"6",16746,"he's",4,11.376,685.188
"7",13030,"facaded",7,0,784.905
"8",30981,"sandy",5,8.524,644.485
"9",7501,"constriction",12,4.984,839.633
"10",23654,"Niagara",7,6.782,763.323
"11",15633,"grassland",9,4.644,700.065
"12",13736,"flagpoles",9,2.708,693.867
"13",14620,"frosty",6,5.855,632.829
"14",33312,"someone's",9,8.849,621.848
"15",22666,"models",6,10.255,588.545
"16",5253,"caseworker",10,3.85,790.188
"17",34102,"statistical",11,9.027,742.941
"18",13205,"fascinatingly",13,2.565,988.565
"19",20416,"lengthening",11,5.673,775.933
"20",12139,"entrepreneurs",13,7.635,791.968
"21",30716,"rundown",7,6.55,720.5
"22",34059,"starter",7,8.887,691.848
"23",39,"abhorrent",9,5.903,794.154
"24",23451,"nearsighted",11,4.673,785.8
"25",6979,"complications",13,7.723,749.515
"26",30369,"riverbank",9,3.664,633.706
"27",9799,"device",6,10.802,608.094
"28",28823,"ream",4,5.817,760.429
"29",27501,"pricing",7,9.014,648.406
"30",37577,"unacceptable",12,8.149,735.226
"31",27548,"principals",10,7.762,727.618
"32",8098,"courtly",7,4.331,773.886
"33",11864,"encircle",8,4.868,782.846
"34",11034,"dripping",8,7.65,752.059
"35",5872,"chipped",7,7.231,677.303
"36",28349,"queasiness",10,2.833,832.667
"37",7277,"confuses",8,6.927,786.966
"38",1701,"aptly",5,6.795,750.864
"39",1662,"apprenticed",11,4.357,779.75
"40",13451,"few",3,12.486,554.875
"41",21622,"markers",7,7.617,678.114
"42",2425,"awakening",9,7.591,738.794
"43",14714,"fungi",5,7.064,802.6
"44",33842,"spying",6,7.237,688.906
"45",8358,"crinoline",9,3.497,894.667
"46",16869,"hints",5,9.199,595.933
"47",27787,"pronouncement",13,5.489,926.231
"48",4844,"calibrate",9,6.109,767.467
"49",20760,"literalism",10,4.92,837.742
"50",14323,"fossilize",9,2.944,879.88
"51",33997,"stammered",9,5.68,703.818
"52",28415,"quintillion",11,2.996,938.125
"53",31124,"scaffoldings",12,0,957.5
"54",12433,"eunuch",6,5.529,850.5
"55",7469,"Constantine",11,7.259,912.645
"56",37527,"typifying",9,1.946,949.952
"57",3543,"blemish",7,5.497,635.576
"58",16052,"habitable",9,5.434,906.5
"59",24348,"oink",4,6.059,649.85
"60",20135,"larva",5,7.299,810.192
"61",28097,"pulmonary",9,6.333,809.52
"62",2022,"assassinated",12,6.712,816.152
"63",4048,"boxes",5,10.118,625.943
"64",10789,"donors",6,6.981,741.839
"65",35641,"tannin",6,4.564,868.8
"66",7749,"convoy",6,6.426,741.545
"67",8572,"cultist",7,5.004,984.905
"68",22007,"melodrama",9,5.595,782.276
"69",4416,"brushy",6,3.784,779.464
"70",12339,"escorted",8,6.667,815.129
"71",24228,"occupation's",12,2.398,922.903
"72",36224,"thinned",7,5.434,808.065
"73",7182,"conductors",10,6.704,694.758
"74",33803,"springing",9,6.004,919.241
"75",3674,"bluejacket",10,0,703.818
"76",23390,"nationals",9,7.846,706.212
"77",36320,"throaty",7,4.97,806.231
"78",22568,"missiles",8,8.419,834.233
