"","iso","name","lat","long","family","macroarea","country","tones","happyPlanetIndex","dailyCalories","freedomPress","rainfall","percentForest","inventory","distanceFromCapeTown"
"1","aiw","Aari",6,36.58333333,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,36,4834.73901
"4","abi","Abidji",5.666666667,-4.583333333,"Niger-Congo","Africa","CIV",2,14.4,2799,3008,1348,32.70754717,77,5025.001878
"7","axb","Abipón",-29,-61,"Guaicuruan","South America","ARG",0,35.2,3229,2605,591,9.906858285,43,7361.785342
"9","akz","Alabama",32.33333333,-87.41666667,"Muskogean","North America","USA",0,20.7,3682,2373,715,33.89972254,38,13273.34665
"11","arv","Arbore",5,36.75,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,59,4738.906475
"16","ace","Acehnese",5.5,95.5,"Austronesian","Eurasia","IDN",0,35.7,2777,3968,2702,50.23819118,55,9171.900799
"17","aca","Achagua",4.416666667,-72.25,"Arawakan","South America","COL",0,40.7,2804,4103,3240,52.72802163,29,10346.76014
"18","guq","Aché",-25.25,-55.16666667,"Tupian","South America","PRY",0,23.3,2589,3232,1130,38.56783287,55,7035.383867
"20","ach","Acholi",3,32.66666667,"Eastern Sudanic","Africa","UGA",3,19.4,2130,3677,1180,10.35806902,29,4370.235384
"21","acv","Achumawi",41.5,-121,"Hokan","North America","USA",0,20.7,3682,2373,715,33.89972254,23,16388.03499
"23","kjq","Acoma",34.91666667,-107.5833333,"Keresan","North America","USA",0,20.7,3682,2373,715,33.89972254,51,15128.27182
"24","acu","Achuar",-2.66667,-76,"Jivaroan","South America","PER",0,34.6,2700,3027,1738,57.79140625,27,10252.71418
"26","adn","Adang",-8.2,124,"Timor-Alor-Pantar","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,40,10911.80981
"27","adj","Adioukrou",5.416666667,-4.583333333,"Niger-Congo","Africa","CIV",7,14.4,2799,3008,1348,32.70754717,63,5000.284138
"28","ano","Andoke",-0.666666667,-72,"Andoke","South America","COL",0,40.7,2804,4103,3240,52.72802163,61,10008.4199
"33","ale","Aleut (Eastern)",54.75,-164,"Eskimo-Aleut","North America","USA",0,20.7,3682,2373,715,33.89972254,63,17697.37075
"34","arz","Arabic (Egyptian)",30,31,"Afro-Asiatic","Africa","EGY",0,23.8,3522,5672,51,0.073333668,102,7232.162532
"36","afr","Afrikaans",-31,22,"Indo-European","Africa","ZAF",0,15.9,3022,2039,495,7.617736524,39,467.3797938
"38","agb","Leggbó",6,8,"Niger-Congo","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,53,4574.460115
"40","duo","Agta (Dupaningan)",18,122.0833333,"Austronesian","Papunesia","PHL",0,35,2570,4253,2348,26.96448335,20,12349.63182
"41","agq","Aghem",6.666666667,10,"Niger-Congo","Africa","CMR",2,16.7,2671,4092,1604,39.80453132,84,4601.442916
