,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
1,brs02,133,punda,424.3529303,519.4378586,215.4013711,94.76183048,206.037516,0,130.6395406,75.39797533,290.7993465,75.39797533,206.037516,40,pʰʏnta,asp,ʏ,high,front,round,n,nasal,coronal,no,di,cvncv,pound,n,c,cc
2,bte03,86,kinn,514.8581066,464.8374906,322.0820106,89.47399849,192.9677307,0,242.6080121,NA,NA,NA,NA,44,cʰɪnn,asp,i,high,front,unrounded,nn,geminate,coronal,no,mono,cvcc,cheek,n,x,cx
3,tt01,161,kapli,489.7811194,489.2814746,96.71237708,93.09116943,175.3236286,86.45996498,100.0811726,75.24245596,258.414798,161.7024209,175.3236286,58,kʰaʰplɪ,asp,a,low,front,unrounded,ʰp,stop,labial,yes,di,cvccv,cable,n,x,cx
4,shg05,17,kamba,46.21035147,417.0272481,178.4750567,78.63945578,170.9580499,0,109.8356009,61.12244898,239.5975057,61.12244898,170.9580499,36,kʰampa,asp,a,low,front,unrounded,m,nasal,labial,no,di,cvncv,comb,n,c,cc
5,brs02,16,kapli,75.24349206,520.6080337,66.31235828,64.57110334,178.1738977,80.5659486,92.30720354,85.86669415,232.745001,166.4326428,178.1738977,58,kʰaʰplɪ,asp,a,low,front,unrounded,ʰp,stop,labial,yes,di,cvccv,cable,n,x,cx
6,jj04,65,gedda,220.4982736,446.1291515,104.0522705,114.0522705,161.9641507,NA,NA,161.9641507,266.0164212,161.9641507,NA,28,cetta,nasp,e,mid,front,unrounded,tt,stop,coronal,no,di,cvccv,pike,n,c,cc
7,brs02,12,dult,62.69686613,348.5610327,98.36080067,72.65057769,182.8902494,61.46001302,97.170236,85.72001344,245.5408271,147.1800265,182.8902494,46,tʏl̥t,nasp,ʏ,high,front,round,l̥,lateral,coronal,yes,mono,cvlc,reticent,adj,c,cc
8,jj04,60,hefna,210.2776233,450.0183752,65.3929745,75.3929745,116.8086884,NA,NA,116.8086884,182.2016629,116.8086884,NA,53,hepna,fri,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,avenge,v,x,cx
9,tt01,139,kubb,420.6926226,396.382769,92.15996131,102.1599613,167.7606178,NA,NA,167.7606178,259.9205791,167.7606178,NA,6,cʰʏpp,asp,ʏ,high,front,round,pp,stop,labial,no,mono,cvcc,block of wood,n,c,cc
10,shg05,158,tipla,418.4517139,601.7271353,69.9047979,57.73020244,161.070503,52.18199978,74.35659525,86.71390779,208.8007055,138.8959076,161.070503,60,tʰɪʰpla,asp,ɪ,high,front,unrounded,ʰp,stop,labial,yes,di,cvccv,tiptoe,v,x,cx
11,shg05,38,gedda,105.837424,374.9430587,85.1388079,95.1388079,134.1933916,NA,NA,134.1933916,219.3321995,134.1933916,NA,28,cetta,nasp,e,mid,front,unrounded,tt,stop,coronal,no,di,cvccv,pike,n,c,cc
