deletion,pos,environment,class
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
1,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,m,C,1
0,v,C,1
0,v,C,1
0,v,C,1
0,v,C,1
0,v,C,1
0,v,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
1,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
0,d,C,1
1,a,C,1
1,a,C,1
1,a,C,1
1,a,C,1
1,a,C,1
1,a,C,1
1,a,C,1
0,a,C,1
0,a,C,1
0,a,C,1
0,a,C,1
0,a,C,1
0,a,C,1
0,a,C,1
