"","syl","let","imag","conc","assoc","type"
"time",1,4,4.13,2.47,7,"High"
"life",1,4,4.07,2.96,6.78,"High"
"home",1,4,6.5,6.25,6.88,"High"
"church",1,6,6.63,6.59,7.52,"High"
"mind",1,4,3.03,2.6,5.88,"High"
"door",1,4,6.6,7,7.96,"High"
"college",2,7,6.2,6.38,7.28,"High"
"girl",1,4,6.87,6.83,5.12,"High"
"university",5,10,6.53,5.87,7.2,"High"
"pressure",2,8,4.1,3.63,5.8,"High"
"spirit",2,6,3.43,1.86,5.72,"High"
"person",2,6,5.83,6.51,5.68,"High"
"river",2,5,6.63,6.83,7.52,"High"
"paper",2,5,6.3,6.89,7.68,"High"
"property",3,8,4.87,5.99,5.76,"High"
"earth",1,5,6.27,6.58,7.56,"High"
"effort",2,6,3.33,2.22,5.75,"High"
"letter",2,6,6.37,6.94,5.96,"High"
"hour",1,4,3.6,2.93,5.56,"High"
"volume",2,6,4.53,5.14,6.16,"High"
"trouble",2,7,3.53,2.25,5.08,"High"
"science",1,7,4.07,3.05,6.56,"High"
"series",2,6,4.47,3.88,5.36,"High"
"length",1,6,3.73,3.75,5.84,"High"
"attitude",3,8,2.77,1.83,5.6,"High"
"health",1,6,4.1,3.54,6.39,"High"
"poet",1,4,5.27,6.35,5.36,"High"
"lord",1,4,4.63,4.18,6.68,"High"
"king",1,4,6.27,6.34,7.5,"High"
"product",2,7,4.2,5.8,5.12,"High"
"event",2,5,2.9,3.72,5.04,"High"
"judge",1,5,6.27,6.25,7.04,"High"
"bottle",2,6,6.57,6.94,7.24,"High"
"leader",2,6,5.13,5.83,6.16,"High"
"valley",2,6,6.57,6.66,6.56,"High"
"master",2,6,4.97,5.53,5.28,"High"
"animal",3,6,6.1,6.75,7,"High"
"forest",2,6,6.63,6.69,9.12,"High"
"newspaper",3,9,6.57,6.56,6.12,"High"
"cell",1,4,6.47,6.63,7.52,"High"
"dream",1,5,4.6,3.03,5.44,"High"
"library",3,7,6.73,6.87,6.4,"High"
"duty",2,4,3.17,2.32,5.6,"High"
"coast",1,5,6.13,6.59,6.4,"High"
"victory",3,7,4.93,2.95,6.12,"High"
"circle",2,6,6.23,6,4.88,"High"
"contract",2,8,4.5,5.24,6.32,"High"
"stone",1,5,6.23,6.96,7.24,"High"
"disease",2,7,4.87,5.63,7.44,"High"
"silence",2,7,4.1,3.09,5.82,"High"
"lip",1,3,6.57,6.93,5.32,"Low"
"rod",1,3,5.97,6.62,6.04,"Low"
"hypothesis",4,10,2.4,2.25,5.36,"Low"
"meadow",2,6,6.43,6.69,8,"Low"
"violation",4,9,3.57,2.92,5.92,"Low"
"priest",1,6,6.53,6.59,6.88,"Low"
"potato",3,6,6.5,7,7.13,"Low"
"custom",2,6,3.43,2.99,5.33,"Low"
"physician",3,9,6.37,6.59,5.92,"Low"
"emancipation",5,12,3.2,2.49,5.2,"Low"
"vigour",2,6,4.43,2.6,5.72,"Low"
"tower",2,5,6.53,6.96,6.42,"Low"
"fur",1,3,6.23,6.69,7.36,"Low"
"saloon",2,6,6.43,6.7,7.12,"Low"
"criterion",4,9,1.83,1.93,3,"Low"
"grief",1,5,4.7,1.86,6.32,"Low"
"vegetable",4,9,5.83,6.76,6.92,"Low"
"amazement",3,9,4.47,2.18,4.5,"Low"
"robbery",3,7,5,4.75,6.16,"Low"
"grandmother",3,11,6.43,6.66,6.08,"Low"
"wheat",1,5,6.4,7,7.96,"Low"
"deed",1,4,3.63,4.19,5.32,"Low"
"lump",1,4,5.63,6.2,5.44,"Low"
"nail",1,4,6.5,6.96,6.08,"Low"
"hostility",4,9,4.23,2.18,5.64,"Low"
"multiplication",5,14,4.73,3.84,6,"Low"
"citation",3,8,3.57,4.42,5.06,"Low"
"shriek",1,6,5.73,5.7,6.92,"Low"
"bravery",3,7,4.4,1.93,6.44,"Low"
"panorama",4,8,4.47,4.18,5.72,"Low"
"distraction",3,11,3.23,2.35,4.12,"Low"
"greed",1,5,3.53,1.73,5.52,"Low"
"bandit",2,6,5.83,6.28,6.92,"Low"
"allegory",4,8,2.13,2.56,4.48,"Low"
"jelly",2,5,6.4,6.73,6,"Low"
"settler",2,7,5.4,6.07,6.48,"Low"
"maiden",2,6,6.1,6.52,5.04,"Low"
"gingham",2,7,5.33,6.17,5.65,"Low"
"alimony",4,7,4.47,4.87,5.72,"Low"
"skillet",2,7,6.1,6.8,7.43,"Low"
"algebra",3,7,5.17,4.85,6.72,"Low"
"gender",2,6,2.9,3.63,5.41,"Low"
"courtship",2,9,5.3,3.22,6.13,"Low"
"inducement",3,10,2.93,2.34,3.68,"Low"
"nymph",1,5,5.63,4.4,5.36,"Low"
"rubble",2,6,5.23,6.18,5.4,"Low"
"avalanche",4,9,6.27,6.38,6.72,"Low"
"exertion",3,8,4.33,2.88,6,"Low"
"leaflet",2,7,5.47,6.62,4.92,"Low"
"impropriety",5,11,1.87,2.08,3.75,"Low"
"malady",3,6,3.37,3.72,6,"Low"
