"","language","tonal","tonalBinary"
"1","13A-abk","No",0
"2","13A-acm","Yes",1
"3","13A-aco","Yes",1
"4","13A-agh","Yes",1
"5","13A-aht","No",0
"6","13A-aik","Yes",1
"7","13A-ain","Yes",1
"8","13A-akn","Yes",1
"9","13A-akw","No",0
"10","13A-ala","No",0
"11","13A-alw","No",0
"12","13A-alb","No",0
"13","13A-aea","No",0
"14","13A-ald","Yes",1
"15","13A-ame","No",0
"16","13A-amh","No",0
"17","13A-amo","Yes",1
"18","13A-amu","No",0
"19","13A-amz","Yes",1
"20","13A-adk","Yes",1
"21","13A-ant","Yes",1
"22","13A-anc","Yes",1
"23","13A-ani","Yes",1
"24","13A-ao","Yes",1
"25","13A-api","No",0
"26","13A-apu","No",0
"27","13A-arb","No",0
"28","13A-aeg","No",0
"29","13A-ana","No",0
"30","13A-arp","No",0
"31","13A-arc","No",0
"32","13A-arm","No",0
"33","13A-amp","No",0
"34","13A-asm","No",0
"35","13A-ata","No",0
"36","13A-ava","No",0
"37","13A-awp","No",0
"38","13A-awn","Yes",1
"39","13A-aym","No",0
"40","13A-aze","No",0
"41","13A-bag","Yes",1
"42","13A-bai","Yes",1
"43","13A-baj","No",0
"44","13A-bki","No",0
"45","13A-bam","Yes",1
"46","13A-byu","No",0
"47","13A-brd","No",0
"48","13A-brb","Yes",1
"49","13A-bsk","No",0
"50","13A-bsq","No",0
"51","13A-bkr","No",0
"52","13A-bto","No",0
"53","13A-baw","Yes",1
"54","13A-bee","Yes",1
"55","13A-bej","Yes",1
"56","13A-bco","No",0
"57","13A-ben","No",0
"58","13A-bma","No",0
"59","13A-ber","Yes",1
"60","13A-bet","Yes",1
"61","13A-bir","Yes",1
"62","13A-bis","No",0
"63","13A-bbf","Yes",1
"64","13A-bod","Yes",1
"65","13A-brr","No",0
"66","13A-brh","No",0
"67","13A-bre","No",0
"68","13A-brw","No",0
"69","13A-bul","No",0
"70","13A-bua","No",0
"71","13A-brm","Yes",1
"72","13A-bur","No",0
"73","13A-cac","Yes",1
"74","13A-cad","Yes",1
"75","13A-cah","No",0
"76","13A-cax","No",0
"77","13A-cam","No",0
"78","13A-ckr","No",0
"79","13A-cnt","Yes",1
"80","13A-car","No",0
"81","13A-ctl","No",0
"82","13A-cyv","No",0
"83","13A-cha","No",0
"84","13A-chw","Yes",1
"85","13A-cso","Yes",1
"86","13A-chl","No",0
"87","13A-che","Yes",1
"88","13A-cck","No",0
"89","13A-cle","Yes",1
"90","13A-chq","Yes",1
"91","13A-cti","Yes",1
"92","13A-chp","Yes",1
"93","13A-chk","No",0
"94","13A-chv","No",0
"95","13A-cil","Yes",1
"96","13A-ccp","No",0
"97","13A-cmn","No",0
"98","13A-coo","No",0
"99","13A-cre","No",0
"100","13A-cub","Yes",1
"101","13A-dad","Yes",1
"102","13A-dgb","Yes",1
"103","13A-dgr","No",0
"104","13A-dah","Yes",1
"105","13A-ddf","No",0
"106","13A-dan","Yes",1
"107","13A-dnw","Yes",1
"108","13A-dni","No",0
"109","13A-dar","No",0
"110","13A-det","Yes",1
"111","13A-die","No",0
"112","13A-din","Yes",1
"113","13A-dio","No",0
"114","13A-diy","No",0
"115","13A-diz","Yes",1
"116","13A-djp","No",0
"117","13A-der","No",0
"118","13A-doy","Yes",1
"119","13A-dre","No",0
"120","13A-dum","Yes",1
